,actiondate,actiondesc,currentchamber,currentchambercode,lastsummaryupdatedate,text,updatedate,versioncode,bill_number,bill_type
467,2025-01-23,Introduced in House,House,H,2025-07-31T14:20:15Z,"<p><strong>Noncontiguous Shipping Relief Act of 2024</strong></p><p>This bill establishes a limited exception to coastwise laws to allow foreign-flag freight vessels to transport merchandise domestically to or from a port in the noncontiguous United States. The bill also addresses various issues related to foreign-flag freight vessels engaged in coastwise trade (i.e., domestic waterborne trade between U.S. ports).&nbsp;</p><p>Under the coastwise laws, commonly known as the Jones Act, a freight vessel may not transport merchandise&nbsp;between U.S. ports unless it is U.S.-built, at least 75% owned by U.S. citizens, and mostly crewed by U.S. citizens. The bill authorizes&nbsp;qualifying foreign-flag vessels to transport merchandise between (1) a port in the contiguous United States and a port in the noncontiguous United States (i.e., Alaska, Hawaii, Puerto Rico, or a U.S. territory or possession); or (2) two ports in the noncontiguous United States.&nbsp;</p><p>Under the bill, all foreign-flag freight vessels operating in U.S. coastwise trade must comply with the (1) minimum international labor standards applicable to U.S. seafarers, and (2) same environmental standards that apply to U.S. vessels.</p><p>The bill authorizes such&nbsp;operators to participate in the Longshore and Harbor Workers’ Compensation program on behalf of masters and crew members they employ.</p><p>The bill also requires foreign-flag vessel owners and operators engaging in coastwise trade to identify an agent for service of process, abide by U.S. tax and other laws, and maintain specified documentation on board.&nbsp;Additionally, lawsuits against such vessels alleging personal injury or death must be brought in U.S. district court.&nbsp;</p>",2025-07-31T14:20:19Z,0,667,HR
468,2025-01-20,Introduced in House,House,H,2025-07-31T13:27:33Z,"<p><strong>Expanding Labor Representation in the Workforce System Act</strong></p><p>This bill increases from 20% to 30% the workforce representation on state and local workforce development boards.</p><p>Workforce development boards perform a variety of functions to carry out the programs and services authorized under the Workforce Innovation and Opportunity Act, including by developing and implementing plans for workforce development and investment activities. &nbsp;</p><p>Current law specifies that boards must include representatives of labor organizations, among others with relevant expertise. The bill specifies that labor organizations include organizations that</p><ul><li>are considered labor organizations based on the definition included in the National Labor Relations Act (e.g., unions); </li><li>are composed of labor organizations (e.g., a labor union federation or a state or municipal labor body); or</li><li> would be considered labor organizations but for the fact that the organization represents agricultural laborers&nbsp;or  individuals employed by a federal agency, a government&nbsp;corporation, a Federal Reserve Bank, a state or local government, or an employer that is subject to the Railway Labor Act.</li></ul><p>&nbsp;</p>",2025-07-31T13:29:19Z,0,567,HR
469,2025-03-14,Introduced in House,House,H,2025-07-30T21:56:59Z,"<p><strong>Veteran Caregiver Reeducation, Reemployment, and Retirement Act</strong></p><p>This bill expands support and assistance provided to family caregivers under the Program of Comprehensive Assistance for Family Caregivers administered by the Department of Veterans Affairs (VA).</p><p>First, the bill extends the period of medical care coverage for primary family caregivers to include the 180-day period following the removal of their designation as a caregiver under the program, unless such individuals (1) were dismissed from the program for fraud, abuse, or mistreatment; or (2) are entitled to Medicare.</p><p>Next, the VA must provide bereavement counseling and support to family caregivers following the death of a veteran receiving care under the program. The VA must also provide retirement planning services to primary family caregivers and study the feasibility and advisability of establishing a retirement plan or retirement savings for caregivers.</p><p>Further, unless they were discharged for fraud, abuse, or mistreatment, the VA must provide to primary family caregivers (1) assistance returning to the workforce upon discharge or dismissal from the program, (2) support in transitioning from&nbsp;caregiving, and (3) specified employment assistance during their tenure as a caregiver and for the following 180-days.</p><p>The VA must partner with the&nbsp;Department of Labor to study and report on the feasibility and advisability of conducting a program to assist primary caregivers in returning to the workforce.</p><p>Finally, the Government Accountability Office must report on the VA’s efforts supporting family caregivers in transitioning from caregiving.</p>",2025-07-30T22:14:52Z,0,2148,HR
470,2025-02-18,Introduced in House,House,H,2025-07-30T21:38:16Z,"<p><strong>Parental Oversight and Educational Transparency Act</strong></p><p>This bill requires local educational agencies (LEAs) to provide additional notification to, and receive written consent from, parents of students regarding certain school activities that relate to students' privacy.&nbsp;</p><p>Under current law, an LEA must annually notify parents of the specific or approximate dates during the school year when specified activities involving information collection, surveys, and screenings are scheduled or expected to be scheduled.</p><p>In addition to this required notification, the bill requires an LEA to directly notify a student's parent 14 days before the scheduled activity and receive written consent from the parent in order for the student to participate in the activity.</p>",2025-07-30T21:39:13Z,0,1416,HR
471,2025-02-18,Introduced in House,House,H,2025-07-30T21:26:28Z,"<p><strong>Enhancing Domestic Drug Manufacturing Competitiveness Act</strong></p><p>This bill requires the Government Accountability Office (GAO) to study and report to Congress on key regulatory barriers to pharmaceutical manufacturing in the United States.&nbsp;</p><p>Specifically, GAO must identify and assess, including by engaging stakeholders, barriers that impede expansion or siting of pharmaceutical manufacturing facilities in the United States or make the United States less competitive than other countries as a location for such facilities. GAO must consider (1) whether environmental or other regulations significantly delay and increase the cost of expanding or siting pharmaceutical manufacturing facilities in the United States; (2) the potential impact of environmental and other regulations on pharmaceutical supply chain resiliency; and (3) specific actions for regulators to address the identified barriers.&nbsp;</p><p>Finally, the report must include recommendations for streamlining regulatory barriers and facilitating technological solutions to foster U.S. pharmaceutical manufacturing.&nbsp;</p>",2025-07-30T21:27:37Z,0,1405,HR
472,2025-02-18,Introduced in House,House,H,2025-07-30T21:23:03Z,<p><strong>Family-to-Family Reauthorization Act of 2025</strong></p><p>This bill reauthorizes through FY2029 the Health Resources and Services Administration’s Family-to-Family Health Information Centers program. This program provides grants to public or private entities staffed by families and other experts who educate and assist the families of children and youth with special health care needs and the health professionals who serve them. &nbsp;</p>,2025-07-30T21:23:24Z,0,1435,HR
473,2025-02-18,Introduced in House,House,H,2025-07-30T21:01:04Z,"<p>This resolution impeaches Paul Engelmayer, a U.S. District Judge for the Southern District of New York, for high crimes and misdemeanors.</p>",2025-07-30T21:02:20Z,0,143,HRES
474,2025-02-18,Introduced in House,House,H,2025-07-30T20:54:39Z,"<p><strong>Contaminated Wells Relocation Act</strong></p><p>This bill permits the National Aeronautics and Space Administration (NASA) to enter into an agreement to reimburse the town of Chincoteague, Virginia for costs directly associated with the removal and relocation of drinking water wells currently situated on NASA property. &nbsp;</p><p>(Drinking water wells located at NASA’s Wallops Flight Facility near Chincoteague have tested positive for perfluoroalkyl or polyfluoroalkyl substances, commonly referred to as PFAS, resulting from the use of certain firefighting foams at the site beginning in the 1970s. NASA currently operates a water treatment system to remove PFAS from the affected water supply.)&nbsp;</p><p>Any such agreement must include, to the extent practicable, (1) a provision for the removal and relocation of the wells remaining on NASA property, (2) a description of the location to which the wells are planned to be relocated, and (3) a current cost estimate of such relocation. Replacement wells must be established on property under the administrative control of the town of Chincoteague.&nbsp;</p>",2025-07-30T20:59:33Z,0,1419,HR
475,2025-02-13,Introduced in House,House,H,2025-07-30T20:31:25Z,"<p><strong>Improving Measurements for Loneliness and Isolation Act of 2025</strong></p><p>This bill requires the Department of Health and Human Services to establish a Working Group on Unifying Loneliness Research. The working group must recommend standardized measurements of loneliness and social isolation for use in research and educating the public. The working group must report to Congress on its work and recommendations and make this information publicly available online. The working group sunsets on December 31, 2027.</p>",2025-07-30T20:32:03Z,0,1305,HR
476,2025-02-13,Introduced in House,House,H,2025-07-30T20:22:20Z,"<p><strong>Eliminate DEI in Colleges Act</strong></p><p>This bill prohibits an institution of higher education (IHE) from receiving federal funds or participating in federal student aid programs if the IHE carries out diversity, equity, and inclusion (DEI) initiatives.</p><p>Specifically, the bill requires an IHE to certify to the Department of Education (ED) that the&nbsp;IHE (1) does not and will not carry out any program, project, initiative, or other activity that advocates, promotes, or otherwise supports DEI;&nbsp;and (2) does not and will not maintain any office or other entity within the IHE that advocates, promotes, or otherwise supports DEI.</p><p>Each IHE that provides the certification must, upon request, make available to ED any information necessary to verify the accuracy of the certification.&nbsp;</p><p>ED must publish regulations to implement and enforce the bill's provisions.&nbsp;</p><p>The bill establishes a process through which an IHE may appeal ED's decision to terminate the IHE's financial assistance for failure to comply with the bill's provisions.</p>",2025-07-30T20:23:07Z,0,1282,HR
477,2025-02-13,Introduced in House,House,H,2025-07-30T20:15:08Z,"<p><strong>Promoting American Patriotism In Our Schools Act</strong></p><p>This bill requires local educational agencies (LEAs) to establish, maintain, and enforce policies that require federally funded public elementary and secondary schools to display the U.S. flag, educate students about the U.S. flag, and&nbsp;direct students and staff to recite the Pledge of Allegiance on a daily basis.</p><p>Specifically, LEAs, as a condition of receiving federal elementary and secondary education funds, must require the following activities at each school:</p><ul><li>for all students, teachers, and staff to recite the Pledge of Allegiance at the beginning of each school day (with an exception for religious or personal reasons);</li><li>for the U.S. flag to be prominently displayed in each classroom and gymnasium; and</li><li>for educational materials on the history, significance, and proper display of the U.S. flag to be incorporated into the civics or history curriculum of each grade level.</li></ul><p>The bill includes annual certification requirements. Further, the bill authorizes and directs the Department of Education to issue and secure compliance with rules or orders with respect to an LEA that fails to certify (or certifies in bad faith) compliance with the bill's requirements.</p>",2025-07-30T20:16:58Z,0,1351,HR
478,2025-02-13,Introduced in House,House,H,2025-07-30T19:50:39Z,"<p><strong>Measures for Safer School Districts Act or the&nbsp;MSD Act</strong></p><p>This bill requires each local educational agency (LEA), as a condition of receiving federal elementary and secondary education funds, to establish procedures for responding to school emergencies and for timely notifying parents of school emergencies. It also requires interior and exterior doors in schools to be reinforced.&nbsp;</p><p>Specifically, the bill requires each LEA to (1) develop and implement emergency response procedures covering all students, faculty, and staff at public schools under the jurisdiction of the LEA; and (2) ensure that parents and guardians receive timely notification of covered threats and emergencies (e.g., active shooter situations, bomb threats, and natural disasters) that occur on school grounds, during school transportation, or during school-sponsored activities. These emergency response procedures must meet specified criteria, including by requiring&nbsp;commonly used alarm system responses for specific types of emergencies.</p><p>Additionally, the bill requires the&nbsp;Cybersecurity and Infrastructure Security Agency (CISA) to convene a rulemaking advisory committee to review and develop findings and recommendations to require the installation or modification of interior and exterior doors in any school that receives federal funding. Further,&nbsp;CISA must (1) submit a report to Congress on the advisory committee's findings and recommendations, and (2) issue a final rule that requires the installation or modification of interior and exterior doors in schools to reinforce such doors.</p><p>The bill authorizes the use of grants under the Homeland Security Grant Program to carry out the bill's provisions.</p>",2025-07-30T19:52:58Z,0,1335,HR
479,2025-03-13,Introduced in Senate,Senate,S,2025-07-30T18:52:30Z,"<p><strong>Indian Health Service Emergency Claims Parity Act</strong></p><p>This bill extends from 72 hours to 15 days the time period&nbsp;to notify the Purchased/Referred Care (PRC) program of emergency medical care received from a non-Indian Health Service (IHS) medical provider or at a non-IHS medical facility. This bill does not apply to individuals who are elderly or disabled, who continue to have a 30-day notification requirement for emergency services.</p><p>The IHS provides medical and dental services directly to American Indian and Alaska Native patients whenever possible. The PRC program pays for medical or dental care that is provided away from an IHS or tribal health care facility. The PRC program must be notified of requests for authorization of payment for health care services from a non-IHS provider.</p><p>Currently in emergency cases, the patient, an individual on behalf of the patient, or the medical care provider must, within 72 hours after the beginning of treatment for the condition or after admission to a health care facility, notify a PRC authorizing official of the need for the emergency medical care. This bill instead allows the patient, other individual, or provider to notify PRC within 15 days of the treatment or admission.</p>",2025-07-30T18:52:39Z,0,1055,S
480,2025-01-16,Introduced in House,House,H,2025-07-30T18:48:50Z,"<p><strong>Red Snapper Act of 2025</strong></p><p>This bill prohibits the National Oceanic and Atmospheric Administration (NOAA) from restricting certain fishing activities in the South Atlantic until data from the South Atlantic Great Red Snapper Count study is integrated into the next South Atlantic red snapper Southeast&nbsp;Data, Assessment, and Review (SEDAR) stock assessment.&nbsp;</p><p>The bill provides that NOAA may not issue an interim rule,&nbsp;final rule, or Secretarial Amendment&nbsp;establishing an area closure or a bottom fishing closure for specified species&nbsp;until (1) the study is complete; and (2) the study data is integrated into the first South Atlantic red snapper SEDAR stock assessment&nbsp;that is carried out after the bill's enactment.&nbsp;The limitation applies to fishing for species managed under the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region, including red snapper, grouper, and porgy.</p><p>(Closures generally&nbsp;restrict&nbsp;recreational and commercial fishing to prevent overfishing and for other conservation purposes.)</p>",2025-07-30T18:52:25Z,0,470,HR
481,2025-02-05,Introduced in House,House,H,2025-07-30T18:15:49Z,"<p><strong>Preventing Aliens Through Rivers or Land Act or the PATROL Act</strong></p><p>This bill prohibits the Department of Justice (DOJ) from bringing certain civil actions against a state for building a physical structure impacting navigable waters along the U.S. border for security purposes. Specifically, the&nbsp;DOJ is prohibited from bringing an action for (1) the construction of a bridge, causeway, dam, dike, or other structure over or in a port, harbor, or other navigable water of the United States without federal approval; or (2) the creation of any obstruction to the navigable capacity of waters of the United States without federal approval.</p>",2025-07-30T18:16:37Z,0,992,HR
482,2025-01-09,Introduced in House,House,H,2025-07-30T17:58:25Z,"<p><strong>Secure Our Ports Act of 2025</strong></p><p>This bill prohibits owners or operators of certain U.S. maritime transportation facilities from contracting for the lease, ownership, or operation of facilities with enterprises partly or wholly owned by China, Iran, North Korea, or Russia. The covered facilities are located at ports in areas that are subject to enhanced transportation security requirements, including the requirement for an Area Maritime Transportation Security Plan.</p>",2025-07-30T17:59:24Z,0,252,HR
483,2025-02-12,Introduced in Senate,Senate,S,2025-07-30T15:45:51Z,"<p><strong>OPTN Fee Collection Authority Act</strong></p><p>This bill authorizes the Health Resources and Services Administration (HRSA), for three years, to collect registration fees directly from a member of the Organ Procurement and Transplantation Network (OPTN) (e.g., organ procurement organizations and&nbsp;transplant hospitals) for each transplant candidate the member places on the waiting list. </p><p> Registration fees for the OPTN were historically collected through a contractor. The bill authorizes&nbsp;HRSA, for three years following the bill’s enactment, to collect registration fees directly from OPTN members for each candidate they place on the list and distribute the fees to support the operation of the OPTN. HRSA must publish on the OPTN website the amount of fees collected from each member and their use.</p><p>The bill requires the Government Accountability Office  to conduct a review relating to the registration fees and report to Congress within two years after the bill’s enactment.</p><p>Additionally, the bill supports (1) the integration of electronic health records systems into the OPTN, such as automated referrals and granting procurement organizations access to records of potential donors; and (2) the establishment of a dashboard to display statistics relating to the OPTN.</p>",2025-07-30T15:46:15Z,0,532,S
484,2025-03-26,Introduced in House,House,H,2025-07-30T14:46:35Z,"<p>This bill&nbsp;requires the Coast Guard to provide access to naloxone (a medication to reverse opioid overdoses) at its facilities, track distribution of the medication,&nbsp;and monitor the illegal use of of controlled substances.&nbsp;</p><p>The bill directs the Coast Guard to update its policy regarding the use of medication to treat drug overdoses to require naloxone or a similar medication to be made available to members on all Coast Guard installations and in each operational environment.&nbsp;</p><p>Further, the Coast Guard must participate in the Department of Defense (DOD) tracking system for naloxone distribution and the illegal use of fentanyl and other controlled substances. (The National Defense Authorization Act for Fiscal Year 2024 directed DOD to&nbsp;establish the tracking system.) The bill requires the&nbsp;Coast Guard to finalize a memorandum of understanding with DOD to facilitate Coast Guard access to the tracking system.</p><p>The bill also specifies that laws that prohibit manufacturing or distributing controlled substances on vessels apply when controlled substances are intentionally or knowingly placed or caused to be placed on board a vessel (e.g., without the crew's knowledge or on board an unmanned vessel).&nbsp;</p><p>Further, the bill requires the Coast Guard to brief Congress within two years after the bill's enactment about the use of opioids and overdose medication at Coast Guard facilities by members and personnel. The briefing must describe the Coast Guard's progress in implementing its updated policy, the prevalence and incidence of the illegal use of controlled&nbsp; substances, and its processes to mitigate substance abuse.</p>",2025-07-30T14:54:25Z,0,2351,HR
485,2025-07-14,Introduced in Senate,Senate,S,2025-07-30T12:56:45Z,"<p><strong>Agricultural Risk Review Act of 2025</strong></p><p>This bill makes changes to the Committee on Foreign Investment in the United States (CFIUS), including by requiring CFIUS to determine whether a national security review is necessary for reportable agricultural land transactions that are referred by the Department of Agriculture (USDA). (CFIUS oversees the national security risks of certain foreign investment in the United States. CFIUS has the authority to review covered transactions, which include&nbsp;mergers, acquisitions, and takeovers that could result in foreign control of a U.S. business; certain investments in businesses involved in critical technologies, critical infrastructure, or sensitive personal data; and certain real estate transactions.)</p><p>Specifically, the bill directs CFIUS to, after receiving notification from USDA, determine (1) whether a reportable agricultural land transaction is a covered transaction, and (2) whether CFIUS should initiate a national security review or take another action with respect to the transaction.&nbsp;</p><p><em>Reportable</em><em> agricultural land transaction</em> means a transaction (1) that USDA has reason to believe&nbsp;is a covered transaction, based on information from or in cooperation with&nbsp;the intelligence community; (2) that involves the acquisition of an interest in agricultural land by a foreign person of China, North Korea, Russia, or Iran; and (3) with respect to which a foreign person is required to submit a report to USDA regarding their agricultural land transactions.</p><p>The bill also expands CFIUS to include the Secretary of Agriculture for covered transactions that involve agricultural land, agricultural biotechnology, or the agriculture industry (e.g., agricultural transportation, storage, and processing).</p>",2025-07-30T12:57:33Z,0,2268,S
486,2025-02-11,Introduced in Senate,Senate,S,2025-07-29T21:31:13Z,"<p><strong>Stopping Harmful Image Exploitation and Limiting Distribution Act of 2025 or the SHIELD Act of 2023 [<em>sic</em>]</strong></p><p>This bill establishes new federal criminal offenses related to the distribution of sexual exploitative content.&nbsp;</p><p>First, the bill makes it a crime to knowingly mail or distribute (or intentionally threaten to mail or distribute) an intimate visual depiction of a&nbsp;recognizable adult engaged in sexual conduct.&nbsp;To constitute a crime, certain elements must be met, including that the distribution must be nonconsensual; the depiction is not a matter of public concern; and the distribution must be intended to cause harm or cause harm.&nbsp;A violator is subject to a fine, a prison term of up to two years, or both; mandatory restitution; and the forfeiture of material involved in the offense, property constituting or derived from the proceeds from the offense, and property used to commit or facilitate the offense.</p><p>Second, the bill makes it a crime&nbsp;to knowingly mail or distribute (or intentionally threaten to mail or distribute) a visual depiction of a nude minor with intent to abuse, humiliate, harass, or degrade the minor, or to arouse or gratify the sexual desire of any person. A violator is subject to a fine, a prison term of up to three years, or both; mandatory restitution; and the forfeiture of material involved in the offense, property constituting or derived from the proceeds from the offense, and property used to commit or facilitate the offense.</p>",2025-07-29T21:33:01Z,0,516,S
487,2025-03-11,Introduced in House,House,H,2025-07-29T21:10:35Z,"<p>This resolution recognizes Girl Scouts of the United States of America for 113 years of building girls of courage, confidence, and character who make the world a better place. The resolution also&nbsp;congratulates all Girl Scouts who earned the Gold Award in 2024.</p>",2025-07-29T21:10:39Z,0,217,HRES
488,2025-01-22,Introduced in House,House,H,2025-07-29T20:56:27Z,"<p><strong>ATF Transparency Act</strong></p><p>This bill modifies procedural requirements related to the transfer or making of firearms that are subject to regulation under the National Firearms Act (e.g., machine guns, short-barreled shotguns, and silencers).</p><p>The bill permits the transfer of a firearm if 90 days have elapsed since the application to transfer the firearm was filed, and the application has not been denied. Additionally, the bill establishes an administrative relief process with respect to an application to transfer that is denied.</p><p>The bill permits the making of a firearm if 90 days have elapsed since the application to make the firearm was filed,&nbsp;and the application has not been denied.</p><p>Finally, the bill requires reports on firearms-related background check inquiries that remain unresolved after 90 days and the percentage of firearms-related background check inquiries related to the transfer of a firearm that were administered by the Federal Bureau of Investigation.</p>",2025-07-29T20:57:52Z,0,613,HR
489,2025-02-11,Introduced in Senate,Senate,S,2025-07-29T20:51:47Z,"<p><strong>Beaches Environmental Assessment and Coastal Health Act of 2025 or the BEACH Act of 2025</strong></p><p>This bill reauthorizes through FY2029 and expands an existing program of the Environmental Protection Agency (EPA) that awards grants to states and local governments to (1) monitor the water quality of coastal recreational waters adjacent to beaches or similar points of access that are used by the public; and (2) notify the public, local governments, and the EPA when the water is not safe for recreational activities.</p><p>Specifically, the bill expands the program to allow the EPA to award grants for identifying sources of contamination (i.e., pathogens) for coastal recreation waters. It also allows grants to be used for monitoring and notification of contamination in (1) shallow waters upstream from recreational waters, and (2) recreational waters on beaches.</p>",2025-07-29T20:52:04Z,0,508,S
490,2025-02-07,Introduced in House,House,H,2025-07-29T20:43:50Z,"<p><strong>No DeepSeek on Government Devices Act</strong></p><p>This bill directs the Office of Management and Budget to develop standards and guidance requiring removal of the DeepSeek application from federal agency information technology. Such standards and guidance also apply to any successor application developed or provided by High Flyer or entities owned by High Flyer.&nbsp;</p><p>DeepSeek is an artificial intelligence start-up founded in 2023 and based in Hangzhou, China. DeepSeek's chief executive officer also created High Flyer, a hedge fund that is reportedly the sole funder of DeepSeek.</p>",2025-07-29T20:43:59Z,0,1121,HR
491,2025-06-17,Introduced in House,House,H,2025-07-29T19:24:19Z,"<p>This resolution condemns the June 14, 2025, attacks on Minnesota state legislators&nbsp;and calls on all people in the United States to reaffirm our commitment to a safe, civil, and peaceful democracy.</p><p>The resolution also honors (1) the lives of Speaker Emerita Melissa Hortman and her husband Mark Hortman who were killed, (2) Senator John Hoffman and his wife Yvette Hoffman who were critically injured, and (3) the law enforcement officers who rapidly responded to the attacks and apprehended the suspected perpetrator.</p>",2025-07-29T19:24:28Z,0,519,HRES
492,2025-02-04,Introduced in Senate,Senate,S,2025-07-29T19:16:06Z,"<p><strong>Retiring the Egregious Confusion Over the Genuine Name of Israel’s Zone of Influence by Necessitating Government-use of Judea and Samaria Act or the RECOGNIZING Judea and Samaria Act</strong></p><p>This bill prohibits the use of federal funds to prepare or promulgate certain materials (including any policy, guidance, regulation, executive order, or other work products) that refer to Judea and Samaria as the West Bank. The prohibition does not apply to U.S. obligations under international treaties or other agreements.</p><p>The bill also amends certain laws to replace the term <em>the West Bank</em> with <em>Judea and Samaria</em>.</p>",2025-07-29T19:16:13Z,0,384,S
493,2025-01-21,Introduced in Senate,Senate,S,2025-07-29T19:14:06Z,"<p>This bill removes the lesser prairie-chicken (<em>Tympanuchus pallidicinctus</em>), including each of its distinct population segments, from the threatened and endangered species lists that are published under the Endangered Species Act of 1973. Further, the bill prohibits the U.S. Fish and Wildlife Service from designating such species as threatened or endangered, and thus, protecting such species under such act.</p>",2025-07-29T19:14:09Z,0,171,S
494,2025-03-04,Introduced in House,House,H,2025-07-29T18:47:27Z,"<p><strong>School Bus Safety Act of&nbsp;2025</strong></p><p>This bill directs the Department of Transportation (DOT) to issue rules requiring school buses to have certain safety features.&nbsp;DOT must also establish a grant program to assist in the implementation of the requirements.</p><p>Specifically, DOT must issue rules requiring school buses to include</p><ul><li>three-point safety belts for all seats,</li><li>a fire suppression system which addresses engine fires,</li><li>a firewall between the engine and passenger compartment&nbsp;that prevents hazardous quantities of gas or flames from passing through the firewall,</li><li>increased&nbsp;performance standards for interior flammability and smoke emissions,</li><li>an automatic emergency braking system,</li><li>an event data recorder, and</li><li>an electronic stability control system.</li></ul><p>DOT must also require at least eight hours of behind-the-wheel training for school bus operators that meets specified requirements.</p><p>Further, the Federal Motor Carrier Safety Administration and the National Highway Traffic Safety Administration (NHTSA) must issue rules on&nbsp;the evaluation of safety sensitive personnel for moderate-to-severe obstructive sleep apnea.</p><p>NHTSA&nbsp;must also study the benefits of requiring school buses manufactured in, or imported into, the United States to be equipped with a motion-activated detection system that is capable of&nbsp;detecting road users (e.g., pedestrians and bicyclists) and alerting the bus operator of their presence.&nbsp;NHTSA must issue rules implementing such a requirement.</p><p>Finally, DOT must establish a grant program to assist local educational agencies in (1) purchasing school buses equipped with three-point safety belts or any of the other safety features required under this bill, and (2) modifying&nbsp;existing school buses.</p>",2025-07-29T18:49:45Z,0,1828,HR
495,2025-01-21,Introduced in Senate,Senate,S,2025-07-29T17:28:58Z,"<p><strong>Energy for America’s Economic Future Act</strong></p><p>This bill establishes a fund to reduce the principal of the federal debt. Each fiscal quarter, 25% of the total revenue generated by activities relating to advancing artificial intelligence infrastructure in the United States as well as 25% of the total revenue generated by federal oil and gas lease sales must be deposited into the fund. Total revenue includes bonus bid amounts collected at the time of an oil or gas lease sale, as well as royalties, rental payments, and fees accrued over the life of the lease that were disbursed to the Treasury as miscellaneous receipts.</p>",2025-07-29T17:30:23Z,0,168,S
496,2025-03-04,Introduced in Senate,Senate,S,2025-07-29T15:38:19Z,"<p><strong>School Bus Safety Act of&nbsp;2025</strong></p><p>This bill directs the Department of Transportation (DOT) to issue rules requiring school buses to have certain safety features.&nbsp;DOT must also establish a grant program to assist in the implementation of the requirements.</p><p>Specifically, DOT must issue rules requiring school buses to include</p><ul><li>three-point safety belts for all seats,</li><li>a fire suppression system which addresses engine fires,</li><li>a firewall between the engine and passenger compartment&nbsp;that prevents hazardous quantities of gas or flames from passing through the firewall,</li><li>increased&nbsp;performance standards for interior flammability and smoke emissions,</li><li>an automatic emergency braking system,</li><li>an event data recorder, and</li><li>an electronic stability control system.</li></ul><p>DOT must also require at least eight hours of behind-the-wheel training for school bus operators that meets specified requirements.</p><p>Further, the Federal Motor Carrier Safety Administration and the National Highway Traffic Safety Administration (NHTSA) must issue rules on&nbsp;the evaluation of safety sensitive personnel for moderate-to-severe obstructive sleep apnea.</p><p>NHTSA&nbsp;must also study the benefits of requiring school buses manufactured in, or imported into, the United States to be equipped with a motion-activated detection system that is capable of&nbsp;detecting road users (e.g., pedestrians and bicyclists) and alerting the bus operator of their presence.&nbsp;NHTSA must issue rules implementing such a requirement.</p><p>Finally, DOT must establish a grant program to assist local educational agencies in (1) purchasing school buses equipped with three-point safety belts or any of the other safety features required under this bill, and (2) modifying&nbsp;existing school buses.</p>",2025-07-29T15:41:52Z,0,828,S
497,2025-02-11,Introduced in House,House,H,2025-07-29T15:26:36Z,"<p>This bill provides statutory authority for the designation of the military installation under the jurisdiction of the Department of the Army in Fayetteville, North Carolina, as Fort Bragg.</p><p>The installation was originally designated as Fort Bragg for Confederate general Braxton Bragg, and was changed to Fort Liberty in 2023. On February 10, 2025, the Department of Defense issued a memorandum to rename it to Fort Bragg, in honor of Army PFC Roland Bragg, who served during World War II.</p>",2025-07-29T15:28:08Z,0,1214,HR
498,2025-02-13,Introduced in House,House,H,2025-07-29T15:15:23Z,"<p>This bill specifies a legal standard for determining whether an individual is considered an <em>independent contractor </em>rather than an <em>employee</em> for the purposes of federal labor laws that address issues such as the federal minimum wage, overtime compensation, and collective bargaining. The rights and protections provided by these laws exclusively apply to employees.</p><p>Under the bill, an individual is considered an independent contractor if (1) another individual or entity does not exercise significant control over the details of how the individual's work is performed, without regard to any control the other individual or entity may exercise over the final result of the work performed; and (2) while performing such work, the individual has opportunities and risks inherent with entrepreneurship (for example, the discretion to exercise professional judgment).</p><p>The bill also sets forth factors that may not be used to determine whether an individual is an employee. Specifically, factors such as whether another individual or entity requires the individual to meet certain legal, health and safety, insurance, or performance requirements may not be used to make such a determination.</p>",2025-07-29T15:16:39Z,0,1319,HR
499,2025-02-05,Introduced in Senate,Senate,S,2025-07-29T15:13:44Z,"<p><strong>Taking Account of Institutions with Low Operation Risk Act of 2025 or the TAILOR Act of 2025</strong></p><p>This bill addresses the supervision of financial institutions.</p><p>Federal financial regulatory agencies must (1) tailor any regulatory actions so as to limit burdens on the institutions involved,&nbsp;with consideration of the risk profiles and business models of those institutions; and (2) report to Congress on specific actions taken to do so, as well as on other related issues. The bill's&nbsp;tailoring requirement applies to future regulatory actions and to regulations adopted within the last seven years.</p><p>The bill also reduces certain reporting requirements for community banks eligible for a simplified capital leverage ratio.</p><p>Finally, federal banking agencies must report on the modernization of bank supervision, including examiner workforce and training and statutory changes necessary to achieve more effective supervision.</p>",2025-07-29T15:15:11Z,0,427,S
500,2025-02-05,Introduced in House,House,H,2025-07-28T21:14:24Z,<p><strong>Voter Eligibility Verification Act of 2025</strong></p><p>This bill requires the Department of Homeland Security to respond within 15 days of receiving a request from certain state officials for the immigration status of an individual on a list of potential voters.&nbsp;</p>,2025-07-28T21:14:27Z,0,1037,HR
501,2025-02-13,Introduced in House,House,H,2025-07-28T20:51:53Z,<p><strong>Safeguarding Social Security and Medicare Act</strong></p><p>This bill requires the Government Accountability Office to study and provide recommendations to Congress with respect to the effect of inflation and cost-of-living increases on Medicare and Social Security.</p>,2025-07-28T20:53:24Z,0,1339,HR
