bioname,chamber,left_right_ideology,party_code,state_abbrev,district_code,icpsr,bioguide_id,party
"McCAUL, Michael T.",House,0.41,200,TX,10,20530,M001157,Republican
"CUELLAR, Henry",House,-0.225,100,TX,28,20533,C001063,Democrat
"WEBER, Randy",House,0.72,200,TX,14,21360,W000814,Republican
"CASTRO, Joaquin",House,-0.4,100,TX,20,21362,C001091,Democrat
"WILLIAMS, Roger",House,0.593,200,TX,25,21364,W000816,Republican
"VEASEY, Marc",House,-0.407,100,TX,33,21365,V000131,Democrat
"BABIN, Brian",House,0.708,200,TX,36,21551,B001291,Republican
"ARRINGTON, Jodey Cook",House,0.642,200,TX,19,21700,A000375,Republican
"GONZALEZ, Vicente Jr.",House,-0.385,100,TX,34,21722,G000581,Democrat
"CLOUD, Michael",House,0.69,200,TX,27,21758,C001115,Republican
"CRENSHAW, Daniel",House,0.434,200,TX,2,21911,C001120,Republican
"ESCOBAR, Veronica",House,-0.477,100,TX,16,21917,E000299,Democrat
"FLETCHER, Elizabeth",House,-0.515,100,TX,7,21919,F000468,Democrat
"GARCIA, Sylvia",House,-0.781,100,TX,29,21922,G000587,Democrat
"GOODEN, Lance",House,0.721,200,TX,5,21925,G000589,Republican
"ROY, Charles",House,0.8,200,TX,21,21961,R000614,Republican
"FALLON, Pat",House,0.714,200,TX,4,22112,F000246,Republican
"GONZALES, Tony",House,0.346,200,TX,23,22119,G000594,Republican
"JACKSON, Ronny",House,0.785,200,TX,13,22125,J000304,Republican
"NEHLS, Troy E.",House,0.61,200,TX,22,22143,N000026,Republican
"PFLUGER, August",House,0.633,200,TX,11,22147,P000048,Republican
"VAN DUYNE, Beth",House,0.604,200,TX,24,22155,V000134,Republican
"ELLZEY, Jake",House,0.512,200,TX,6,22160,E000071,Republican
"CASAR, Greg",House,-0.423,100,TX,35,22307,C001131,Democrat
"CROCKETT, Jasmine",House,-0.498,100,TX,30,22312,C001130,Democrat
"DE LA CRUZ, Monica",House,0.472,200,TX,15,22315,D000594,Republican
"HUNT, Wesley",House,0.591,200,TX,38,22328,H001095,Republican
"LUTTRELL, Morgan",House,0.599,200,TX,8,22344,L000603,Republican
"MORAN, Nathaniel",House,0.582,200,TX,1,22352,M001224,Republican
"SELF, Keith",House,0.84,200,TX,3,22364,S001224,Republican
"GILL, Brandon",House,0.981,200,TX,26,22517,G000603,Republican
"GOLDMAN, Craig A.",House,0.828,200,TX,12,22519,G000601,Republican
"JOHNSON, Julie",House,-0.4,100,TX,32,22528,J000310,Democrat
"TURNER, Sylvester",House,-0.746,100,TX,18,22557,T000489,Democrat
"DOGGETT, Lloyd Alton, II",House,-0.403,100,TX,37,29571,D000399,Democrat
"SESSIONS, Pete",House,0.584,200,TX,17,29759,S000250,Republican
"MOORE, Blake D.",House,0.37,200,UT,1,22141,M001213,Republican
"OWENS, Burgess",House,0.452,200,UT,4,22146,O000086,Republican
"MALOY, Celeste",House,0.408,200,UT,2,22376,M001228,Republican
"KENNEDY, Mike",House,0.812,200,UT,3,22529,K000403,Republican
"BALINT, Becca",House,-0.453,100,VT,1,22301,B001318,Democrat
"PLASKETT, Stacey E.",House,-0.474,100,VI,0,21994,P000610,Democrat
"WITTMAN, Robert J.",House,0.448,200,VA,1,20756,W000804,Republican
"CONNOLLY, Gerald E. (Gerry)",House,-0.309,100,VA,11,20952,C001078,Democrat
"GRIFFITH, H. Morgan",House,0.51,200,VA,9,21191,G000568,Republican
"BEYER, Donald Sternoff Jr.",House,-0.395,100,VA,8,21554,B001292,Democrat
"CLINE, Benjamin",House,0.716,200,VA,6,21908,C001118,Republican
"KIGGANS, Jennifer",House,0.26,200,VA,2,22335,K000399,Republican
"MCCLELLAN, Jennifer",House,-0.55,100,VA,4,22374,M001227,Democrat
"MCGUIRE, John J., III",House,0.673,200,VA,5,22539,M001239,Republican
"SUBRAMANYAM, Suhas",House,-0.301,100,VA,10,22554,S001230,Democrat
"VINDMAN, Eugene Simon",House,-0.168,100,VA,7,22558,V000138,Democrat
"WALKINSHAW, James R.",House,-0.503,100,VA,11,22564,W000831,Democrat
"SCOTT, Robert C.",House,-0.45,100,VA,3,39307,S000185,Democrat
"LARSEN, Richard Ray (Rick)",House,-0.365,100,WA,2,20145,L000560,Democrat
"NEWHOUSE, Daniel Milton",House,0.317,200,WA,4,21556,N000189,Republican
"JAYAPAL, Pramila",House,-0.621,100,WA,7,21726,J000298,Democrat
"SCHRIER, Kim",House,-0.281,100,WA,8,21962,S001216,Democrat
"STRICKLAND, Marilyn",House,-0.453,100,WA,10,22153,S001159,Democrat
"PEREZ, Marie Gluesenkamp",House,-0.092,100,WA,3,22358,G000600,Democrat
"BAUMGARTNER, Michael",House,0.489,200,WA,5,22502,B001322,Republican
"RANDALL, Emily",House,-0.685,100,WA,6,22548,R000621,Democrat
"SMITH, Adam",House,-0.291,100,WA,9,29768,S000510,Democrat
"DelBENE, Suzan K.",House,-0.293,100,WA,1,31101,D000617,Democrat
"MILLER, Carol",House,0.528,200,WV,1,21946,M001205,Republican
"MOORE, Riley M.",House,0.885,200,WV,2,22543,M001235,Republican
"MOORE, Gwendolynne S. (Gwen)",House,-0.523,100,WI,4,20537,M001160,Democrat
"POCAN, Mark",House,-0.524,100,WI,2,21370,P000607,Democrat
"GROTHMAN, Glenn",House,0.598,200,WI,6,21559,G000576,Republican
"STEIL, Bryan",House,0.418,200,WI,1,21970,S001213,Republican
"TIFFANY, Thomas P.",House,0.639,200,WI,7,21989,T000165,Republican
"FITZGERALD, Scott",House,0.599,200,WI,5,22115,F000471,Republican
"VAN ORDEN, Derrick",House,0.38,200,WI,3,22370,V000135,Republican
"WIED, Tony",House,0.484,200,WI,8,22383,W000829,Republican
"HAGEMAN, Harriet",House,0.649,200,WY,1,22325,H001096,Republican
"TUBERVILLE, Thomas Hawley (Tommy)",Senate,0.936,200,AL,0,42102,T000278,Republican
"BRITT, Katie Elizabeth",Senate,0.586,200,AL,0,42300,B001319,Republican
"MURKOWSKI, Lisa",Senate,0.203,200,AK,0,40300,M001153,Republican
"SULLIVAN, Daniel Scott",Senate,0.476,200,AK,0,41500,S001198,Republican
"GALLEGO, Ruben",Senate,-0.36,100,AZ,0,21502,G000574,Democrat
"KELLY, Mark Edward",Senate,-0.256,100,AZ,0,41905,K000377,Democrat
"BOOZMAN, John",Senate,0.427,200,AR,0,20101,B001236,Republican
"COTTON, Tom",Senate,0.579,200,AR,0,21301,C001095,Republican
"SCHIFF, Adam",Senate,-0.353,100,CA,0,20104,S001150,Democrat
"PADILLA, Alejandro (Alex)",Senate,-0.426,100,CA,0,42104,P000145,Democrat
"BENNET, Michael F.",Senate,-0.237,100,CO,0,40910,B001267,Democrat
"HICKENLOOPER, John Wright",Senate,-0.265,100,CO,0,42101,H000273,Democrat
"MURPHY, Christopher",Senate,-0.284,100,CT,0,20707,M001169,Democrat
"BLUMENTHAL, Richard",Senate,-0.433,100,CT,0,41101,B001277,Democrat
"BLUNT ROCHESTER, Lisa",Senate,-0.38,100,DE,0,21706,B001303,Democrat
"COONS, Christopher A.",Senate,-0.237,100,DE,0,40916,C001088,Democrat
"RUBIO, Marco",Senate,0.616,200,FL,0,41102,R000595,Republican
"SCOTT, Richard Lynn (Rick)",Senate,0.717,200,FL,0,41903,S001217,Republican
"MOODY, Ashley Brooke",Senate,0.746,200,FL,0,42506,M001244,Republican
"OSSOFF, Thomas Jonathan (Jon)",Senate,-0.455,100,GA,0,42103,O000174,Democrat
"WARNOCK, Raphael Gamaliel",Senate,-0.419,100,GA,0,42105,W000790,Democrat
"HIRONO, Mazie",Senate,-0.514,100,HI,0,20713,H001042,Democrat
"SCHATZ, Brian Emanuel",Senate,-0.447,100,HI,0,41112,S001194,Democrat
"CRAPO, Michael Dean",Senate,0.505,200,ID,0,29345,C000880,Republican
"RISCH, James",Senate,0.551,200,ID,0,40902,R000584,Republican
"DURBIN, Richard Joseph",Senate,-0.345,100,IL,0,15021,D000563,Democrat
"DUCKWORTH, Tammy",Senate,-0.343,100,IL,0,21325,D000622,Democrat
"YOUNG, Todd",Senate,0.438,200,IN,0,21133,Y000064,Republican
"BANKS, James E.",Senate,0.647,200,IN,0,21702,B001299,Republican
"GRASSLEY, Charles Ernest",Senate,0.362,200,IA,0,14226,G000386,Republican
"ERNST, Joni",Senate,0.538,200,IA,0,41502,E000295,Republican
"MARSHALL, Roger Wayne",Senate,0.606,200,KS,0,21734,M001198,Republican
"MORAN, Jerry",Senate,0.414,200,KS,0,29722,M000934,Republican
"McCONNELL, Addison Mitchell (Mitch)",Senate,0.403,200,KY,0,14921,M000355,Republican
"PAUL, Rand",Senate,0.891,200,KY,0,41104,P000603,Republican
"CASSIDY, Bill",Senate,0.463,200,LA,0,20919,C001075,Republican
"KENNEDY, John Neely",Senate,0.562,200,LA,0,41703,K000393,Republican
"KING, Angus Stanley, Jr.",Senate,-0.169,328,ME,0,41300,K000383,Independent
"COLLINS, Susan Margaret",Senate,0.123,200,ME,0,49703,C001035,Republican
"VAN HOLLEN, Christopher",Senate,-0.397,100,MD,0,20330,V000128,Democrat
"ALSOBROOKS, Angela Deneece",Senate,-0.432,100,MD,0,42500,A000382,Democrat
"MARKEY, Edward John",Senate,-0.517,100,MA,0,14435,M000133,Democrat
"WARREN, Elizabeth",Senate,-0.744,100,MA,0,41301,W000817,Democrat
"PETERS, Gary C.",Senate,-0.248,100,MI,0,20923,P000595,Democrat
"SLOTKIN, Elissa",Senate,-0.35,100,MI,0,21965,S001208,Democrat
"KLOBUCHAR, Amy",Senate,-0.278,100,MN,0,40700,K000367,Democrat
"SMITH, Tina",Senate,-0.406,100,MN,0,41706,S001203,Democrat
"WICKER, Roger F.",Senate,0.377,200,MS,0,29534,W000437,Republican
"HYDE-SMITH, Cindy",Senate,0.452,200,MS,0,41707,H001079,Republican
"HAWLEY, Joshua David",Senate,0.832,200,MO,0,41901,H001089,Republican
"SCHMITT, Eric Stephen",Senate,0.917,200,MO,0,42303,S001227,Republican
"DAINES, Steve",Senate,0.59,200,MT,0,21338,D000618,Republican
"SHEEHY, Timothy Patrick",Senate,0.673,200,MT,0,42503,S001232,Republican
"FISCHER, Debra (Deb)",Senate,0.46,200,NE,0,41302,F000463,Republican
"RICKETTS, John Peter (Pete)",Senate,0.437,200,NE,0,42302,R000618,Republican
"ROSEN, Jacklyn Sheryl",Senate,-0.286,100,NV,0,21743,R000608,Democrat
"CORTEZ MASTO, Catherine Marie",Senate,-0.354,100,NV,0,41700,C001113,Democrat
"SHAHEEN, Jeanne",Senate,-0.224,100,NH,0,40906,S001181,Democrat
"HASSAN, Margaret (Maggie)",Senate,-0.23,100,NH,0,41702,H001076,Democrat
"KIM, Andy",Senate,-0.399,100,NJ,0,21937,K000394,Democrat
"BOOKER, Cory Anthony",Senate,-0.555,100,NJ,0,41308,B001288,Democrat
"HEINRICH, Martin",Senate,-0.333,100,NM,0,20930,H001046,Democrat
"LUJÁN, Ben Ray",Senate,-0.378,100,NM,0,20932,L000570,Democrat
"SCHUMER, Charles Ellis (Chuck)",Senate,-0.354,100,NY,0,14858,S000148,Democrat
"GILLIBRAND, Kirsten",Senate,-0.451,100,NY,0,20735,G000555,Democrat
"BUDD, Theodore Paul",Senate,0.633,200,NC,0,21708,B001305,Republican
"TILLIS, Thomas Roland (Thom)",Senate,0.389,200,NC,0,41504,T000476,Republican
"CRAMER, Kevin",Senate,0.398,200,ND,0,21350,C001096,Republican
"HOEVEN, John",Senate,0.4,200,ND,0,41107,H001061,Republican
"VANCE, James David",Senate,0.85,200,OH,0,42304,V000137,Republican
"MORENO, Bernardo (Bernie)",Senate,0.771,200,OH,0,42502,M001242,Republican
"HUSTED, Jon Allen",Senate,0.717,200,OH,0,42505,H001104,Republican
"LANKFORD, James",Senate,0.591,200,OK,0,21166,L000575,Republican
"MULLIN, Markwayne",Senate,0.532,200,OK,0,21355,M001190,Republican
"WYDEN, Ronald Lee",Senate,-0.333,100,OR,0,14871,W000779,Democrat
"MERKLEY, Jeff",Senate,-0.452,100,OR,0,40908,M001176,Democrat
"FETTERMAN, John Karl",Senate,-0.189,100,PA,0,42301,F000479,Democrat
"MCCORMICK, David Harold",Senate,0.575,200,PA,0,42501,M001243,Republican
"REED, John F. (Jack)",Senate,-0.361,100,RI,0,29142,R000122,Democrat
"WHITEHOUSE, Sheldon",Senate,-0.354,100,RI,0,40704,W000802,Democrat
"SCOTT, Tim",Senate,0.629,200,SC,0,21173,S001184,Republican
"GRAHAM, Lindsey O.",Senate,0.367,200,SC,0,29566,G000359,Republican
"THUNE, John",Senate,0.432,200,SD,0,29754,T000250,Republican
"ROUNDS, Marion Michael (Mike)",Senate,0.352,200,SD,0,41505,R000605,Republican
"BLACKBURN, Marsha",Senate,0.632,200,TN,0,20351,B001243,Republican
"HAGERTY, William Francis (Bill)",Senate,0.68,200,TN,0,42100,H000601,Republican
"CORNYN, John",Senate,0.47,200,TX,0,40305,C001056,Republican
"CRUZ, Rafael Edward (Ted)",Senate,0.779,200,TX,0,41304,C001098,Republican
"CURTIS, John R.",Senate,0.45,200,UT,0,21755,C001114,Republican
"LEE, Mike",Senate,0.891,200,UT,0,41110,L000577,Republican
"WELCH, Peter",Senate,-0.406,100,VT,0,20750,W000800,Democrat
"SANDERS, Bernard",Senate,-0.544,328,VT,0,29147,S000033,Independent
"WARNER, Mark",Senate,-0.208,100,VA,0,40909,W000805,Democrat
"KAINE, Timothy Michael (Tim)",Senate,-0.243,100,VA,0,41305,K000384,Democrat
"CANTWELL, Maria E.",Senate,-0.307,100,WA,0,39310,C000127,Democrat
"MURRAY, Patty",Senate,-0.355,100,WA,0,49308,M001111,Democrat
"CAPITO, Shelley Moore",Senate,0.283,200,WV,0,20146,C001047,Republican
"JUSTICE, James Conley, II",Senate,0.564,200,WV,0,42504,J000312,Republican
"BALDWIN, Tammy",Senate,-0.487,100,WI,0,29940,B001230,Democrat
"JOHNSON, Ron",Senate,0.641,200,WI,0,41111,J000293,Republican
"LUMMIS, Cynthia M.",Senate,0.686,200,WY,0,20953,L000571,Republican
"BARRASSO, John A.",Senate,0.54,200,WY,0,40707,B001261,Republican
